,date,value,type
0,2016-01-05,123.43,open
0,2016-01-05,125.839996,close
1,2016-01-06,125.239998,open
1,2016-01-06,119.980003,close
2,2016-01-07,116.379997,open
2,2016-01-07,114.949997,close
3,2016-01-08,115.480003,open
3,2016-01-08,116.620003,close
4,2016-01-09,115.480003,open
4,2016-01-09,116.620003,close
5,2016-01-10,115.480003,open
5,2016-01-10,116.620003,close
6,2016-01-11,117.010002,open
6,2016-01-11,114.970001,close
7,2016-01-12,115.510002,open
7,2016-01-12,115.550003,close
8,2016-01-13,116.459999,open
8,2016-01-13,112.849998,close
9,2016-01-14,113.510002,open
9,2016-01-14,114.379997,close
10,2016-01-15,113.330002,open
10,2016-01-15,112.529999,close
11,2016-01-16,113.330002,open
11,2016-01-16,112.529999,close
12,2016-01-17,113.330002,open
12,2016-01-17,112.529999,close
13,2016-01-18,113.330002,open
13,2016-01-18,112.529999,close
14,2016-01-19,113.660004,open
14,2016-01-19,110.379997,close
15,2016-01-20,109.059998,open
15,2016-01-20,109.300003,close
16,2016-01-21,109.730003,open
16,2016-01-21,110.0,close
17,2016-01-22,111.879997,open
17,2016-01-22,111.949997,close
18,2016-01-23,111.879997,open
18,2016-01-23,111.949997,close
19,2016-01-24,111.879997,open
19,2016-01-24,111.949997,close
20,2016-01-25,111.32,open
20,2016-01-25,110.120003,close
21,2016-01-26,110.419998,open
21,2016-01-26,111.0,close
22,2016-01-27,110.769997,open
22,2016-01-27,110.709999,close
23,2016-01-28,110.900002,open
23,2016-01-28,112.580002,close
24,2016-01-29,113.349998,open
24,2016-01-29,114.470001,close
25,2016-01-30,113.349998,open
25,2016-01-30,114.470001,close
26,2016-01-31,113.349998,open
26,2016-01-31,114.470001,close
27,2016-02-01,114.0,open
27,2016-02-01,114.5,close
28,2016-02-02,113.25,open
28,2016-02-02,110.559998,close
29,2016-02-03,113.379997,open
29,2016-02-03,114.050003,close
30,2016-02-04,114.080002,open
30,2016-02-04,115.709999,close
31,2016-02-05,115.120003,open
31,2016-02-05,114.019997,close
32,2016-02-06,115.120003,open
32,2016-02-06,114.019997,close
33,2016-02-07,115.120003,open
33,2016-02-07,114.019997,close
34,2016-02-08,113.300003,open
34,2016-02-08,111.160004,close
35,2016-02-09,111.169998,open
35,2016-02-09,110.650002,close
36,2016-02-10,106.730003,open
36,2016-02-10,107.519997,close
37,2016-02-11,105.629997,open
37,2016-02-11,107.129997,close
38,2016-02-12,108.559998,open
38,2016-02-12,107.839996,close
39,2016-02-13,108.559998,open
39,2016-02-13,107.839996,close
40,2016-02-14,108.559998,open
40,2016-02-14,107.839996,close
41,2016-02-15,108.559998,open
41,2016-02-15,107.839996,close
42,2016-02-16,109.110001,open
42,2016-02-16,110.769997,close
43,2016-02-17,110.830002,open
43,2016-02-17,111.239998,close
44,2016-02-18,111.120003,open
44,2016-02-18,111.599998,close
45,2016-02-19,111.370003,open
45,2016-02-19,110.330002,close
46,2016-02-20,111.370003,open
46,2016-02-20,110.330002,close
47,2016-02-21,111.370003,open
47,2016-02-21,110.330002,close
48,2016-02-22,111.360001,open
48,2016-02-22,113.040001,close
49,2016-02-23,112.370003,open
49,2016-02-23,111.889999,close
50,2016-02-24,110.769997,open
50,2016-02-24,111.559998,close
51,2016-02-25,111.599998,open
51,2016-02-25,112.879997,close
52,2016-02-26,113.339996,open
52,2016-02-26,112.75,close
53,2016-02-27,113.339996,open
53,2016-02-27,112.75,close
54,2016-02-28,113.339996,open
54,2016-02-28,112.75,close
55,2016-02-29,113.040001,open
55,2016-02-29,113.32,close
56,2016-03-01,114.269997,open
56,2016-03-01,115.510002,close
57,2016-03-02,115.349998,open
57,2016-03-02,116.779999,close
58,2016-03-03,116.489998,open
58,2016-03-03,117.0,close
59,2016-03-04,116.610001,open
59,2016-03-04,117.190002,close
60,2016-03-05,116.610001,open
60,2016-03-05,117.190002,close
61,2016-03-06,116.610001,open
61,2016-03-06,117.190002,close
62,2016-03-07,116.050003,open
62,2016-03-07,116.949997,close
63,2016-03-08,116.5,open
63,2016-03-08,116.709999,close
64,2016-03-09,117.050003,open
64,2016-03-09,116.489998,close
65,2016-03-10,116.910004,open
65,2016-03-10,116.82,close
